Product Name,Product Price,Product URL,Description,ASIN,Product Description,Manufacturer
F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),"₹1,049",https://www.amazon.in/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,,,,
Gear ECO 1 Black Orange Red Laptop Backpack,₹759,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I,,,,
"Puma Unisex-Adult Big Cat Backpack, Fizzy Apple (9018404)",₹999,https://www.amazon.in/Puma-Unisex-Adult-Backpack-Fizzy-9018404/dp/B0BWF2BNBP,PUMA Big Cat Laptop Backpack,,"Product description    
 PUMA Big Cat Laptop Backpack",Brand: Puma
"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",₹475,https://www.amazon.in/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5,,,,
"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",₹399,https://www.amazon.in/Deal-Polyester-Backpack-Computer-Resistant/dp/B08RC39B71,,,,
BAG CORNER Travel Woman and Clothing Duffel Bag (Ten),₹799,https://www.amazon.in/BAG-CORNER-Travel-Clothing-Duffel/dp/B0B6VNJ3YG,,,,
"YASH Bag for Boys and Girls Blue Color, 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag","₹29,499",https://www.amazon.in/Casual-Waterproof-Laptop-Backpack-College/dp/B0C3XG81XS,,,,
"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",₹884,https://www.amazon.in/F-Gear-Fortune-Backpack-Navy-Blue/dp/B07B7K7212,,,,
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),₹599,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,,,,
Skybags Unisex Grey Jacqard 34L Laptop Bags,"₹1,149",https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ,,,,
Lino Perros Women Handbag,"₹1,303",https://www.amazon.in/Lino-Perros-Womens-Handbag-Black/dp/B07L4PQJ42,,,,
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,Handcrafted with care and made up of premium quality robust material,,,Visit the uppercase Store
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹294,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ,,,,
Tabelito® VOLT Casual waterproof Laptop Backpack/Office bag/School bag/College bag/Business bag/Unisex bag Travel bag Compatible with 15.6 inch Laptop 30L Bag for Men and Women - GREY,₹599,https://www.amazon.in/Tabelito%C2%AE-VOLT-waterproof-Backpack-Compatible/dp/B0BML7Q3J1,,,,
